TAU(MFT),wind,sst,airT,Pressure,TAU(obs)
0.286649,13.7,5.2,6.6,101325,0.320812125705996
0.29726,14,5.2,7.1,101325,0.221577006929871
0.297547,14.1,4.8,7.2,101325,0.34450674884536
0.282319,13.9,4.6,7.4,101325,0.372498120800629
0.232907,13,4.4,7.5,101325,0.259078057735502
0.373735,15.5,4.2,7.3,101325,0.30592451683381
0.384299,15.7,4.2,7.5,101325,0.200364867179853
0.468234,17,3.6,7.3,101325,0.552399538377794
0.412923,16.2,3.5,7.1,101325,0.331453586494399
0.38123,15.5,5,7.2,101325,0.478285740954087
0.390606,15.7,5,7.5,101325,0.480721426607968
0.428592,16.3,4.9,7.6,101325,0.46406904658682
0.429941,16.3,4.8,7.4,101325,0.558873984007128
0.26558,13.6,4.5,7.2,101325,0.496550309636395
0.239141,12.7,4.1,5.3,101325,0.374899306481087
0.335752,14.1,4.2,3.3,101325,0.376865917801013
0.459945,15.9,4.4,2,101325,0.381139200293016
0.494204,16.2,4.5,0.4,101325,0.509917493326126
0.562644,17,4.4,-0.9,101325,0.779482905521346
0.576703,17.1,4.3,-1.7,101325,0.835040460097593
0.558902,16.8,4.4,-2.5,101325,0.677036609054488
0.556,16.7,4.5,-3.2,101325,0.27180029433391
0.498558,15.9,4.4,-3.7,101325,0.868925739059443
0.345272,13.5,4.3,-4.4,101325,0.477019800427613
0.30072,12.6,6,-4.6,101325,0.143196159166369
0.244482,11.5,5.6,-4.6,101325,0.308291193516779
0.186201,10.2,5.1,-4.5,101325,0.180321601590048
0.114636,8.2,4.1,-4.5,101325,0.170460200633462
0.040834,5,3.8,-4.7,101325,0.063260730315102
0.043224,5.2,2.4,-4.7,101325,0.110820304998678
0,0,2.3,-4.5,101325,0.061622073967045
0.003314,1.3,3,-4.3,101325,0.062019674297758
0.003312,1.3,3.3,-4.1,101325,0.088104994183077
0.609063,19,2.1,7.4,101325,1.17702910754153
0.611733,18.9,3.2,7.6,101325,0.668086828189271
0.659521,19.4,3.9,7.9,101325,0.991033828887793
0.477229,17.2,4.2,8.3,101325,0.841005713416978
0.470903,17.2,3.6,8.3,101325,0.56021556565308
0.319703,14.9,3.4,7.9,101325,0.548664068442613
0.283267,14.3,3,7.7,101325,0.377459468022727
0.162887,11,3.1,4.6,101325,0.376911143374669
0.07958,8.4,2.5,3.8,101325,0.147514948395069
